"priority_rank","domain","tier","target_query","gsc_28d_clicks","gsc_28d_impressions","gsc_28d_ctr_percent","gsc_28d_average_position","gsc_28d_state","gsc_data_observed_at","current_24h_position","current_24h_clicks","current_24h_impressions","current_24h_state","next_action","notes"
"11","fishgooindex.com","active_28d_opportunity","fishgoo","2","107","1.9","10.7","28d data available","2026-08-31T10:18:15.575Z","","","","","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"12","cnshopperindex.com","active_28d_opportunity","cndhopper","2","71","2.8","8.9","28d data available","2026-08-31T10:18:15.575Z","","","","","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"13","eastmallbuyindex.com","active_28d_opportunity","eastmallbuy spreadsheet","1","89","1.1","13.6","28d data available","2026-08-31T10:18:15.575Z","","0","0","未出现","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"14","cssbuyindex.com","active_28d_opportunity","cssbuy","1","186","0.5","23.2","28d data available","2026-08-31T10:18:15.575Z","","","","","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"15","sugargooindex.net","active_28d_opportunity","sugargoo tracking","0","220","0","24.4","28d data available","2026-08-31T10:18:15.575Z","","","","","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"16","litbuyindex.com","active_28d_opportunity","litbuy","1","92","1.1","19.2","28d data available","2026-08-31T10:18:15.575Z","","","","","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"17","hipobuyindex.com","active_28d_opportunity","hipobuy","4","68","5.9","15.6","28d data available","2026-08-31T10:18:15.575Z","","","","","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"18","itaobuyindex.com","active_28d_opportunity","itaobuy link","1","80","1.2","19.1","28d data available","2026-08-31T10:18:15.575Z","","","","","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"19","kameymallindex.com","active_28d_opportunity","kameymall","0","76","0","19.8","28d data available","2026-08-31T10:18:15.575Z","","","","","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"20","oopbuyindex.net","active_28d_opportunity","oopbuy","2","52","3.8","18.1","28d data available","2026-08-31T10:18:15.575Z","","","","","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"21","joyagooindex.com","active_28d_opportunity","joyagoo spreadsheet","1","63","1.6","21.2","28d data available","2026-08-31T10:18:15.575Z","","","","","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"22","superbuydeals.com","active_28d_opportunity","how to calculate shipping costs for superbuy","2","45","4.4","18.8","28d data available","2026-08-31T10:18:15.575Z","","","","","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"23","kakobuyindex.net","active_28d_opportunity","kakobuy","0","28","0","17.5","28d data available","2026-08-31T10:18:15.575Z","","","","","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"24","yoybuyindex.com","active_28d_opportunity","yoybuy","0","42","0","22.2","28d data available","2026-08-31T10:18:15.575Z","","","","","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"25","loongbuys.net","active_28d_opportunity","loongbuy","2","114","1.8","28.2","28d data available","2026-08-31T10:18:15.575Z","","","","","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"26","lovegobuyindex.com","active_28d_opportunity","lovebuy","1","32","3.1","23.9","28d data available","2026-08-31T10:18:15.575Z","","","","","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"27","cssbuyitems.com","active_28d_opportunity","","0","10","0","12.1","28d data available","2026-08-31T10:18:15.575Z","","","","","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"28","superbuyindex.com","active_28d_opportunity","superbuy finds","4","110","3.6","29","28d data available","2026-08-31T10:18:15.575Z","","","","","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"29","litbuyitems.com","active_28d_opportunity","litbuy spreadsheet","1","92","1.1","29.3","28d data available","2026-08-31T10:18:15.575Z","","","","","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"30","bbdbuyeus.com","active_28d_opportunity","bbdbuyeu","0","14","0","23.9","28d data available","2026-08-31T10:18:15.575Z","","","","","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"31","cssbuycatalog.com","active_28d_opportunity","","0","3","0","21","28d data available","2026-08-31T10:18:15.575Z","","","","","review dominant and non-brand query intent against the current landing page; preserve ranked URLs","28d domain/query aggregate is verified; prior-28d, 90d and page-level comparison are still required"
"","joyabuyfinds.com","observed_outside_priority_band","joyabuy spreadsheet","3","275","1.1","31.5","28d data available","2026-08-31T10:18:15.575Z","","0","0","未出现","retain current URLs; inspect only evidence-backed content or technical issues","28d domain/query aggregate is verified; no trend conclusion without comparison window"
"","allchinabuyindex.com","observed_outside_priority_band","allchinabuy","0","197","0","68.1","28d data available","2026-08-31T10:18:15.575Z","","","","","retain current URLs; inspect only evidence-backed content or technical issues","28d domain/query aggregate is verified; no trend conclusion without comparison window"
"","acbuyindex.com","observed_outside_priority_band","acbuy","0","152","0","35.7","28d data available","2026-08-31T10:18:15.575Z","","","","","retain current URLs; inspect only evidence-backed content or technical issues","28d domain/query aggregate is verified; no trend conclusion without comparison window"
"","orientdigindex.com","observed_outside_priority_band","orientdig spreadsheet","4","135","3","33.2","28d data available","2026-08-31T10:18:15.575Z","18.0","0","1","出现","retain current URLs; inspect only evidence-backed content or technical issues","28d domain/query aggregate is verified; no trend conclusion without comparison window"
"","superbuyitems.com","observed_outside_priority_band","superbuy","0","93","0","57.4","28d data available","2026-08-31T10:18:15.575Z","","","","","retain current URLs; inspect only evidence-backed content or technical issues","28d domain/query aggregate is verified; no trend conclusion without comparison window"
"","mulebuyitems.com","observed_outside_priority_band","is mulebuy legit","2","39","5.1","32.8","28d data available","2026-08-31T10:18:15.575Z","","","","","retain current URLs; inspect only evidence-backed content or technical issues","28d domain/query aggregate is verified; no trend conclusion without comparison window"
"","allchinabuyfinder.com","observed_outside_priority_band","allchinabuy finds","0","23","0","43.1","28d data available","2026-08-31T10:18:15.575Z","","","","","retain current URLs; inspect only evidence-backed content or technical issues","28d domain/query aggregate is verified; no trend conclusion without comparison window"
"","kakobuyitems.com","observed_outside_priority_band","","0","1","0","1","28d data available","2026-08-31T10:18:15.575Z","","","","","retain current URLs; inspect only evidence-backed content or technical issues","28d domain/query aggregate is verified; no trend conclusion without comparison window"
"","boonbuyfind.net","observed_outside_priority_band","","0","0","0","0","28d data available","2026-08-31T10:18:15.575Z","","","","","retain current URLs; inspect only evidence-backed content or technical issues","28d domain/query aggregate is verified; no trend conclusion without comparison window"
"","ydaexpress.net","waiting_for_first_data","","","","","","未出现","2026-08-31T10:18:15.575Z","","","","","wait for first GSC data; do not manufacture pages","no ranking decline inferred"
"","ydaexpress.org","waiting_for_first_data","","","","","","未出现","2026-08-31T10:18:15.575Z","","","","","wait for first GSC data; do not manufacture pages","no ranking decline inferred"
"","1to1finds.cloud","gsc_verified_processing","","","","","","verified property; performance data processing","2026-09-05","","","","not read; do not treat as zero","wait for processing, then export 28-day and 90-day page-query windows","current account has access; public sitemap returns 200"
"","1to1finds.com","gsc_verified_processing","","","","","","verified property; performance data processing","2026-09-05","","","","not read; do not treat as zero","wait for processing, then export 28-day and 90-day page-query windows","current account has access; public sitemap returns 200"
"","1to1reps.com","gsc_verified_index_coverage","","","","","","verified property; index coverage data available; performance baseline not yet exported","2026-09-05","","","","not read; do not treat as zero","export current and previous 28-day and 90-day page-query windows when the account quota permits","current account has access; site is live and public sitemap returns 200"
"","1to1spreadsheet.com","gsc_verified_processing","","","","","","verified property; performance data processing","2026-09-05","","","","not read; do not treat as zero","wait for processing, then export 28-day and 90-day page-query windows","current account has access; public sitemap returns 200"
"","dgobuyindex.com","gsc_verified_other_account_no_access","","","","","","verified property in another owner account; current account access missing","2026-09-05","","","","unavailable; do not treat as zero","owner grants the current GSC account read access; no DNS change required","ownership TXT remains present; sitemap was submitted under the owner account and public sitemap returns 200"
"","hubbuyindex.com","gsc_verified_other_account_no_access","","","","","","verified property in another owner account; current account access missing","2026-09-05","","","","unavailable; do not treat as zero","owner grants the current GSC account read access; no DNS change required","ownership TXT remains present; sitemap was submitted under the owner account and public sitemap returns 200"
"","mycnboxindex.com","gsc_verified_other_account_no_access","","","","","","verified property in another owner account; current account access missing","2026-09-05","","","","unavailable; do not treat as zero","owner grants the current GSC account read access; no DNS change required","ownership TXT remains present; sitemap was submitted under the owner account and public sitemap returns 200"
"","okeyhaulindex.com","gsc_verified_other_account_no_access","","","","","","verified property in another owner account; current account access missing","2026-09-05","","","","unavailable; do not treat as zero","owner grants the current GSC account read access; no DNS change required","ownership TXT remains present; sitemap was submitted under the owner account and public sitemap returns 200"
"","ootdbuyindex.com","gsc_verified_other_account_no_access","","","","","","verified property in another owner account; current account access missing","2026-09-05","","","","unavailable; do not treat as zero","owner grants the current GSC account read access; no DNS change required","ownership TXT remains present; sitemap was submitted under the owner account and public sitemap returns 200"
"","ossbuyindex.com","gsc_verified_other_account_no_access","","","","","","verified property in another owner account; current account access missing","2026-09-05","","","","unavailable; do not treat as zero","owner grants the current GSC account read access; no DNS change required","ownership TXT remains present; sitemap was submitted under the owner account and public sitemap returns 200"
"","pantherbuyindex.com","gsc_verified_other_account_no_access","","","","","","verified property in another owner account; current account access missing","2026-09-05","","","","unavailable; do not treat as zero","owner grants the current GSC account read access; no DNS change required","ownership TXT remains present; sitemap was submitted under the owner account and public sitemap returns 200"
"","ponybuyindex.com","gsc_verified_other_account_no_access","","","","","","verified property in another owner account; current account access missing","2026-09-05","","","","unavailable; do not treat as zero","owner grants the current GSC account read access; no DNS change required","ownership TXT remains present; sitemap was submitted under the owner account and public sitemap returns 200"
"","rizzitgoindex.com","gsc_verified_other_account_no_access","","","","","","verified property in another owner account; current account access missing","2026-09-05","","","","unavailable; do not treat as zero","owner grants the current GSC account read access; no DNS change required","ownership TXT remains present; sitemap was submitted under the owner account and public sitemap returns 200"
"","spanbuyindex.com","gsc_verified_other_account_no_access","","","","","","verified property in another owner account; current account access missing","2026-09-05","","","","unavailable; do not treat as zero","owner grants the current GSC account read access; no DNS change required","ownership TXT remains present; sitemap was submitted under the owner account and public sitemap returns 200"
"","tigbuyindex.com","gsc_verified_other_account_no_access","","","","","","verified property in another owner account; current account access missing","2026-09-05","","","","unavailable; do not treat as zero","owner grants the current GSC account read access; no DNS change required","ownership TXT remains present; sitemap was submitted under the owner account and public sitemap returns 200"
"","vigorbuyindex.com","gsc_verified_other_account_no_access","","","","","","verified property in another owner account; current account access missing","2026-09-05","","","","unavailable; do not treat as zero","owner grants the current GSC account read access; no DNS change required","ownership TXT remains present; sitemap was submitted under the owner account and public sitemap returns 200"
"","indexfinds.com","separate_production_scope","","","","","","separate audit required","","","","","","run an independent GSC and content audit outside the tenant batch","main product platform; not a tenant clone"
"","xiangshoe.net","separate_production_scope","","","","","","separate audit required","","","","","","run an independent GSC and content audit outside the tenant batch","independent site; not a tenant clone"
